branch,radius_mm,gate_mm,reachable_voxel_coverage,reachable_patient_mean,reachable_patient_median,reachable_patient_iqr25,reachable_patient_iqr75,reachable_eligible_cases,overall_voxel_coverage,overall_patient_mean,overall_patient_median,overall_patient_iqr25,overall_patient_iqr75,overall_error_cases
pos,6.0,2.0,0.017689023881095525,0.01690584041827062,0.015814712784409754,0.01152542372881356,0.020157255182273053,97,0.05988876545989396,0.057137395082067985,0.055292757279512245,0.03696002613529875,0.07472193642836747,99
pos,6.0,3.0,0.029822666165664664,0.028132119566936186,0.027468785471055617,0.018235584031542632,0.035104732350659425,97,0.07139322745929523,0.06759389683795959,0.06473641081671674,0.04245041364624244,0.08827783524586987,99
pos,6.0,4.0,0.039382149716098866,0.036873096870596964,0.0366289154167942,0.02327683615819209,0.04648516863063795,97,0.0804570116603289,0.07573643076835448,0.0723845943731221,0.04700666563872982,0.0981585299957124,99
pos,6.0,5.0,0.09082748830995324,0.08273181569695684,0.07979568671963677,0.04689922480620155,0.10567707053330057,97,0.12923469349886563,0.11834901263054139,0.11432465172622652,0.07098331665444996,0.15046271261996863,99
pos,6.0,6.0,0.1329599302772211,0.11977098857145646,0.11728939020091646,0.06701231367465975,0.15975276358017354,97,0.16918239149313072,0.15280534101717044,0.14819711538461539,0.09234942879064317,0.2024908756807673,99
pos,6.0,7.0,0.15929645749833,0.14243580029097147,0.138832707310026,0.07764095917044718,0.19511992696489336,97,0.19415325922645482,0.17391488606061087,0.1726729291204099,0.10414061549326582,0.23228895698874497,99
pos,6.0,8.0,0.17964183575484302,0.15985021356856,0.15698345517506734,0.08684381075826313,0.2247255448140259,97,0.21344364421770895,0.19014139595583712,0.18665865384615385,0.11223328679064391,0.2580889451012668,99
pos,6.0,9.0,0.2035907753006012,0.1798149228596217,0.17519880715705766,0.09591704471808166,0.25396460583773844,97,0.2361507307188928,0.20876297093493426,0.20708504152212762,0.12103210300873478,0.2917196132988345,99
pos,6.0,10.0,0.23057964888109553,0.20323586958341047,0.19979774631609362,0.11157542833263685,0.2854549455385631,97,0.2617401179145503,0.2305944606696476,0.2296875,0.13460121462362262,0.32409492511219995,99
pos,6.0,11.0,0.2633104751169005,0.23115805305780723,0.22344531808434595,0.12848897719746427,0.33383972654766425,97,0.2927737134176664,0.25664541028881965,0.25570460517217536,0.15244260402145213,0.3620903158272719,99
pos,6.0,12.0,0.28757775968603877,0.2513868667524257,0.24068188384859868,0.14078910019869428,0.36779287550495776,97,0.31578263741646895,0.27552409229586466,0.2709668621300968,0.16331517391209383,0.39779384843913157,99
pos,6.0,13.0,0.3071011815297261,0.2676114110553962,0.25541750939034963,0.1521430598921374,0.3840702947845805,97,0.334293687885183,0.2906709649079797,0.2834616795012835,0.1714643852181853,0.41876898596770645,99
